bbox,filename,height,width
"[214.32, 74.38, 112.51999999999998, 142.1]",/home/tako/devtools/furry-geras/coco/train2017/000000409669.jpg,426,640
"[0.0, 95.86, 474.68, 532.33]",/home/tako/devtools/furry-geras/coco/train2017/000000471641.jpg,640,480
"[221.75, 136.28, 76.44, 81.37]",/home/tako/devtools/furry-geras/coco/train2017/000000519433.jpg,427,640
"[176.5, 176.63, 254.07, 105.54000000000002]",/home/tako/devtools/furry-geras/coco/train2017/000000128942.jpg,480,640
"[267.36, 0.0, 371.64, 419.27]",/home/tako/devtools/furry-geras/coco/train2017/000000139921.jpg,427,640
"[91.23, 56.52, 182.70999999999998, 442.48]",/home/tako/devtools/furry-geras/coco/train2017/000000326063.jpg,500,333
"[2.52, 36.66, 495.92, 329.44000000000005]",/home/tako/devtools/furry-geras/coco/train2017/000000327804.jpg,375,500
"[263.14, 256.88, 94.55000000000001, 154.62]",/home/tako/devtools/furry-geras/coco/train2017/000000295762.jpg,640,640
"[2.15, 157.72, 61.3, 312.65999999999997]",/home/tako/devtools/furry-geras/coco/train2017/000000143252.jpg,478,640
"[149.57, 21.57, 276.43, 592.98]",/home/tako/devtools/furry-geras/coco/train2017/000000349897.jpg,640,427
"[143.18, 85.12, 79.53, 184.68]",/home/tako/devtools/furry-geras/coco/train2017/000000242189.jpg,500,375
"[440.41, 105.64, 72.91000000000003, 99.17999999999999]",/home/tako/devtools/furry-geras/coco/train2017/000000535135.jpg,453,640
"[319.77, 1.63, 179.23000000000002, 176.01]",/home/tako/devtools/furry-geras/coco/train2017/000000119752.jpg,363,500
"[257.27, 67.56, 116.81, 216.75]",/home/tako/devtools/furry-geras/coco/train2017/000000212591.jpg,427,640
"[283.65, 150.63, 61.610000000000014, 82.48000000000002]",/home/tako/devtools/furry-geras/coco/train2017/000000204609.jpg,480,640
"[193.33, 37.68, 177.27, 117.84]",/home/tako/devtools/furry-geras/coco/train2017/000000128516.jpg,334,500
"[12.94, 51.78, 352.8, 574.28]",/home/tako/devtools/furry-geras/coco/train2017/000000238189.jpg,640,425
"[200.15, 113.29, 190.97, 225.49]",/home/tako/devtools/furry-geras/coco/train2017/000000050058.jpg,429,640
"[153.16, 247.66, 333.09000000000003, 391.34000000000003]",/home/tako/devtools/furry-geras/coco/train2017/000000528284.jpg,640,640
"[1.08, 152.51, 625.28, 318.63]",/home/tako/devtools/furry-geras/coco/train2017/000000466763.jpg,480,640
"[341.8, 185.44, 155.37, 212.5]",/home/tako/devtools/furry-geras/coco/train2017/000000420747.jpg,426,640
"[108.76, 289.29, 379.23, 109.70999999999998]",/home/tako/devtools/furry-geras/coco/train2017/000000375045.jpg,400,600
"[302.02, 97.08, 312.89, 375.45]",/home/tako/devtools/furry-geras/coco/train2017/000000312072.jpg,480,640
"[179.06, 98.16, 175.90000000000003, 284.84000000000003]",/home/tako/devtools/furry-geras/coco/train2017/000000026320.jpg,480,640
"[320.66, 159.46, 120.53000000000003, 132.88000000000002]",/home/tako/devtools/furry-geras/coco/train2017/000000208082.jpg,480,640
"[426.19, 8.61, 144.29000000000002, 324.02]",/home/tako/devtools/furry-geras/coco/train2017/000000256731.jpg,480,640
"[327.0, 193.99, 99.74000000000001, 112.64999999999998]",/home/tako/devtools/furry-geras/coco/train2017/000000186157.jpg,428,640
"[284.76, 206.2, 336.21000000000004, 247.99]",/home/tako/devtools/furry-geras/coco/train2017/000000218116.jpg,480,640
"[0.0, 0.14, 477.21, 630.41]",/home/tako/devtools/furry-geras/coco/train2017/000000028555.jpg,640,480
"[235.87, 201.02, 74.44999999999999, 118.36999999999998]",/home/tako/devtools/furry-geras/coco/train2017/000000481422.jpg,424,640
"[200.14, 133.81, 85.26999999999998, 99.07]",/home/tako/devtools/furry-geras/coco/train2017/000000448609.jpg,513,640
"[277.21, 110.89, 258.88999999999993, 234.63]",/home/tako/devtools/furry-geras/coco/train2017/000000302470.jpg,514,640
"[0.0, 117.97, 278.87, 331.03]",/home/tako/devtools/furry-geras/coco/train2017/000000235839.jpg,450,360
"[138.69, 81.99, 175.25, 546.54]",/home/tako/devtools/furry-geras/coco/train2017/000000031867.jpg,640,426
"[97.73, 129.94, 50.17, 157.32999999999998]",/home/tako/devtools/furry-geras/coco/train2017/000000258158.jpg,640,427
"[232.96, 154.67, 95.42999999999998, 149.60999999999999]",/home/tako/devtools/furry-geras/coco/train2017/000000346898.jpg,480,640
"[374.14, 0.0, 264.80000000000007, 427.0]",/home/tako/devtools/furry-geras/coco/train2017/000000145186.jpg,428,640
"[21.67, 389.71, 264.82, 241.70999999999998]",/home/tako/devtools/furry-geras/coco/train2017/000000221246.jpg,640,471
"[366.87, 446.41, 57.129999999999995, 92.33999999999997]",/home/tako/devtools/furry-geras/coco/train2017/000000052853.jpg,640,425
"[234.22, 72.64, 138.18999999999997, 157.64]",/home/tako/devtools/furry-geras/coco/train2017/000000578788.jpg,333,500
"[22.69, 0.0, 276.87, 399.0]",/home/tako/devtools/furry-geras/coco/train2017/000000500018.jpg,400,640
"[51.93, 14.91, 555.83, 375.03]",/home/tako/devtools/furry-geras/coco/train2017/000000470161.jpg,427,640
